anon_id,page,input_sha256,male,female,ferrule,unknown,total,candidates,detections_sha256
example_01.pdf,0,b0d0238320e8305570c27b2251a7b0f546ab5824f76d18f8c2592aeab0a6ea7d,0,0,0,0,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
example_01.pdf,1,b0d0238320e8305570c27b2251a7b0f546ab5824f76d18f8c2592aeab0a6ea7d,36,32,0,4,72,82,3eb049eb4dd2fd1a60165514bf3497ce9b7304891b2d999dc9bf2113e551c5e6
example_02.pdf,0,eb1be99368c5e2e1dd444553ab39b8c6e75d161226ac936424a77a6c46c0e647,20,18,0,1,39,44,b38691da9750daabe732cc382bec893634e100d722bb597316a035d4993f7bfa
example_03.pdf,0,695f22d45cbae815bca4c6525f1c41d279d8a8be37c024bfea80fd8a2272d3d8,60,6,0,0,66,68,0e601b6ed0269c14ea57d419232aa71894e74c3703a2d5910db44d0837693e28
example_04.pdf,0,1fa7642dbcc74c7b55f12b6fddca3e8541977f0536373575a4b6d62267a345e3,16,0,0,0,16,18,4fdea150625c36aae37d92cb14fe86cd2404234fba085e81147ee5cc96be4d18
example_05.pdf,0,32ff8f9c4ec9d23f383abd1df03cf2856a6dc8ea1203fd8fbe3962180e47c77d,3,1,0,0,4,6,4648de6122ec3ff5e7f1188caa7cc7e242c42d990a337d7f06071287091a6ec6
example_06.pdf,0,32c84f3182628ceb110d6308ebaddf66412bcfe17002971a70ca91db7c78b07f,28,3,37,8,76,80,6325de92f9df2ccb4e2574c0e24ea82e157318f7ae3c3f2d86f4f458dab22749
example_07.pdf,0,e0a72bbb720bcfc1f839ad20e3cf209c5ce2113bef07672726d49afdf05f9c25,0,8,2,0,10,10,17a527d2db3d49a29bcc45d4c72f5f055646018d0f3bf45e1e020882bdd6600b
example_08.pdf,0,5a575454088d0921a1bb7f16b8c041851fcb3ad3ac25e9af02da58b70e32a984,17,0,7,4,28,30,f54168d43b7062e20debdbb35035d3d8b6f675c56a8e5b9523122b7520e2788a
example_09.pdf,0,b72400f9996877bc0730757665e4c829e219d1da049f4a30bc3f29149a0dcf06,0,9,0,0,9,10,00a278350d3234dd449d4e57d9be94cbc61609258e00fb978df27d667a17cd9b
example_10.pdf,0,d12bef2de45f52f2618af34d74ae94e85d31e2b4a53d59d0aadc5c432d97030c,0,2,1,0,3,3,bc58ed417e45f752cec4448f9533ddbb977036b548f8d6a0c5e20fcac21ab68d
example_11.pdf,0,93647ef1de450ca31aef9ae3db0d0c079104ced8b308bf93c70175d0113e8f37,3,3,0,0,6,6,007d1c55f6f190264c6a2244775fcb721aa1ea8340d773dee7b0ad13877fe04e
example_12.pdf,0,066ae7a50b0f0756055ace23290b7fa635b327f5d7da6b5b6753e3a3f4211e84,0,4,0,0,4,5,243813f6b821d8dd253f633400597deb3b2a76a9ac0dbb4f58deb0e893b3540f
example_13.pdf,0,c68abacd16e90a04a46c4046373b8a5dd1db7cb8cf68d98045f95b9552847e93,8,8,0,0,16,18,792701abac8bbde44cca09bb01250dab9d0239184f161eed793bd83c2f24f01d
